Strategy,SL,RR,Total Net Profit,Gross Profit,Gross Loss,Profit Factor,Profit Trade (%),Loss Trade (%),Total Trade,Expected Payoff,Max Consecutive Wins,Avg Consecutive Wins,Max Consecutive Loss,Avg Consecutive Loss,Max Draw Down (%),Max Draw Down (Time)
EMA_Stocastic_Strategy_5_20_10_3,0.05,1,-151.51727049855413,330.20192340529735,481.71919390385136,0.6854655732717263,0.4069767441860465,0.5930232558139535,86,-1.7618287267273736,5,2.0588235294117645,8,3.0,15.991808960252884,
EMA_Stocastic_Strategy_5_20_10_3,0.05,2,-195.32023670219826,198.40174246625992,393.72197916845806,0.5039133016787251,0.2037037037037037,0.7962962962962963,54,-3.617041420411079,2,1.5714285714285714,10,6.142857142857143,20.874751801498697,
EMA_Stocastic_Strategy_5_20_10_3,0.05,3,-198.20929598649695,187.39921003088978,385.60850601738673,0.48598308156210673,0.14285714285714285,0.8571428571428571,49,-4.045087673193815,2,1.1666666666666667,10,7.0,21.710860193302945,
EMA_Stocastic_Strategy_5_20_10_3,0.1,1,-91.12266670181509,101.33429832236888,192.45696502418423,0.5265296494186904,0.3333333333333333,0.6666666666666666,30,-3.0374222233938366,3,2.0,6,4.0,10.546722792354174,
EMA_Stocastic_Strategy_5_20_10_3,0.1,2,-80.54968420451121,113.21735384359258,193.76703804810376,0.5842962507146635,0.23076923076923078,0.7692307692307693,26,-3.098064777096585,2,1.2,6,4.0,9.696465139479713,
EMA_Stocastic_Strategy_5_20_10_3,0.1,3,-61.84048846072028,56.31675891170197,118.15724737242249,0.4766255152694604,0.14285714285714285,0.8571428571428571,14,-4.417177747194306,1,1.0,7,6.0,8.70235821323867,
EMA_Stocastic_Strategy_5_20_10_3,0.15,1,-55.29075888030059,62.67193896906056,117.96269784936138,0.531286076968948,0.3333333333333333,0.6666666666666666,18,-3.071708826683366,3,1.5,4,3.0,6.8400591569748705,
EMA_Stocastic_Strategy_5_20_10_3,0.15,2,-50.60704058003773,38.27334945573536,88.88039003577309,0.43061635350982236,0.18181818181818182,0.8181818181818182,11,-4.600640052730703,1,1.0,5,4.5,6.821240756668629,
EMA_Stocastic_Strategy_5_20_10_3,0.15,3,-41.95529092458685,57.82406721166702,99.77935813625409,0.5795193343768071,0.16666666666666666,0.8333333333333334,12,-3.4962742437155705,1,1.0,5,5.0,6.848646274093119,
EMA_Stocastic_Strategy_5_20_10_3,0.2,1,-37.05468824536172,32.32854802722262,69.38323627258438,0.4659417715860668,0.3,0.7,10,-3.7054688245361715,2,1.5,4,3.5,4.920013860007943,
EMA_Stocastic_Strategy_5_20_10_3,0.2,2,-30.98377481174407,38.84082700482065,69.82460181656461,0.5562627783665552,0.2222222222222222,0.7777777777777778,9,-3.442641645749341,1,1.0,4,3.5,4.929334513487034,
EMA_Stocastic_Strategy_5_20_10_3,0.2,3,-21.36420644962925,29.07048675564768,50.434693205277,0.5763986039793343,0.16666666666666666,0.8333333333333334,6,-3.5607010749382084,1,1.0,0,5.0,4.900995009999986,
EMA_Stocastic_Strategy_5_30_10_3,0.05,1,-96.66330925410261,355.75616318243385,452.41947243653703,0.7863414040657531,0.4457831325301205,0.5542168674698795,83,-1.1646181837843688,5,2.0555555555555554,6,2.5555555555555554,13.212254221240597,
EMA_Stocastic_Strategy_5_30_10_3,0.05,2,-152.93768842046688,205.95647661901043,358.8941650394774,0.5738640988948811,0.22448979591836735,0.7755102040816326,49,-3.121177314703406,2,1.5714285714285714,9,5.428571428571429,16.796975734055664,
EMA_Stocastic_Strategy_5_30_10_3,0.05,3,-164.28329533885835,194.13109574049383,358.4143910793525,0.5416386745963931,0.15555555555555556,0.8444444444444444,45,-3.6507398964190747,2,1.1666666666666667,9,6.333333333333333,18.49941183214255,
EMA_Stocastic_Strategy_5_30_10_3,0.1,1,-81.32899829668634,102.93195784900689,184.2609561456931,0.5586205564222718,0.3448275862068966,0.6551724137931034,29,-2.8044482171271152,3,2.0,5,3.8,9.64315433571133,
EMA_Stocastic_Strategy_5_30_10_3,0.1,2,-71.08364002955955,114.39169336442463,185.47533339398447,0.6167488219117265,0.24,0.76,25,-2.843345601182382,2,1.2,5,3.8,8.784308221696648,
EMA_Stocastic_Strategy_5_30_10_3,0.1,3,-52.10224263399368,56.898995963172624,109.00123859716635,0.5220032056099204,0.15384615384615385,0.8461538461538461,13,-4.007864817999514,1,1.0,6,5.5,7.780159811352208,
EMA_Stocastic_Strategy_5_30_10_3,0.15,1,-55.15467671953081,62.82501325620637,117.97968997573727,0.532507021073936,0.3333333333333333,0.6666666666666666,18,-3.0641487066406006,3,1.5,4,3.0,6.84005915697488,
EMA_Stocastic_Strategy_5_30_10_3,0.15,2,-50.604504586658436,38.2761228640631,88.88062745072169,0.43064640700567314,0.18181818181818182,0.8181818181818182,11,-4.60040950787804,1,1.0,5,4.5,6.8212407566686135,
EMA_Stocastic_Strategy_5_30_10_3,0.15,3,-41.955220055222185,57.82414546200242,99.77936551722456,0.5795200757417167,0.16666666666666666,0.8333333333333334,12,-3.496268337935182,1,1.0,5,5.0,6.8486462740931415,
EMA_Stocastic_Strategy_5_30_10_3,0.2,1,-27.327967017098217,32.42681834358132,59.75478536067964,0.5426647949256812,0.3333333333333333,0.6666666666666666,9,-3.0364407796775796,1,1.0,3,2.0,3.9596099596039784,
EMA_Stocastic_Strategy_5_30_10_3,0.2,2,-21.008918827989305,39.236933740030544,60.24585256801984,0.6512802469801645,0.25,0.75,8,-2.626114853498663,1,1.0,3,3.0,3.969024761097996,
